Driver,DriverNumber,LapNumber,Stint,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Year,GP,LapTimeSeconds
16,63,2.0,1.0,273.0,285.0,273.5594525235244,309.0,0,3,2.0,1,11,0,9.52425215480818,25.2,48.1,1002.4,0,45.1,193,0.3,2021,8,95.607
9,44,2.0,1.0,287.0,305.0,284.0,313.0,1,2,2.0,1,7,0,9.52425215480818,25.2,47.7,1002.6,0,44.9,210,0.4,2021,8,78.245
20,33,2.0,1.0,286.0,305.0,285.0,311.0,1,3,2.0,1,10,0,9.52425215480818,25.2,47.7,1002.6,0,44.9,210,0.4,2021,8,78.09
18,18,2.0,1.0,286.0,295.0,285.0,315.0,1,3,2.0,1,2,0,9.52425215480818,25.3,47.6,1002.5,0,44.4,161,0.5,2021,8,79.077
19,22,2.0,1.0,286.0,304.0,281.0,310.0,1,3,2.0,1,0,0,9.52425215480818,25.3,47.6,1002.5,0,44.4,161,0.5,2021,8,78.648
17,55,2.0,1.0,284.0,298.0,283.0,317.0,1,3,2.0,1,3,0,9.52425215480818,25.3,47.6,1002.5,0,44.4,161,0.5,2021,8,78.205
12,16,2.0,1.0,284.0,300.0,285.0,318.0,1,3,2.0,1,3,0,9.52425215480818,25.3,47.6,1002.5,0,44.4,161,0.5,2021,8,78.421
9,44,3.0,1.0,182.0,205.0,230.0,267.0,0,2,3.0,1,7,0,9.52425215480818,25.3,47.6,1002.5,0,44.4,161,0.5,2021,8,114.916
18,18,3.0,1.0,221.0,224.0,273.5594525235244,295.0,0,3,3.0,1,2,0,9.52425215480818,25.3,47.6,1002.5,0,44.4,161,0.5,2021,8,96.847
20,33,3.0,1.0,124.0,141.0,182.0,186.0,0,3,3.0,1,10,0,9.52425215480818,25.3,47.6,1002.5,0,44.4,161,0.5,2021,8,138.414
13,4,2.0,1.0,288.0,299.0,299.0,313.0,1,3,2.0,1,6,0,9.52425215480818,25.5,46.1,1002.4,0,45.4,232,0.3,2021,8,78.806
19,22,3.0,1.0,173.0,203.0,273.5594525235244,294.0,0,3,3.0,1,0,0,9.52425215480818,25.5,46.1,1002.4,0,45.4,232,0.3,2021,8,127.468
17,55,3.0,1.0,207.0,215.0,273.5594525235244,276.0,0,3,3.0,1,3,0,9.52425215480818,25.5,46.1,1002.4,0,45.4,232,0.3,2021,8,99.262
12,16,3.0,1.0,194.0,222.0,273.5594525235244,272.0,0,3,3.0,1,3,0,9.52425215480818,25.5,46.1,1002.4,0,45.4,232,0.3,2021,8,101.526
7,10,2.0,1.0,285.0,300.0,283.0,312.0,1,3,2.0,1,0,0,9.52425215480818,25.5,46.1,1002.4,0,45.4,232,0.3,2021,8,78.19
1,14,2.0,1.0,284.0,301.0,282.0,316.0,1,3,2.0,1,1,0,9.52425215480818,25.5,46.1,1002.4,0,45.4,232,0.3,2021,8,78.56
14,31,2.0,1.0,284.0,302.0,284.0,318.0,1,3,2.0,1,1,0,9.52425215480818,25.5,46.1,1002.4,0,45.4,232,0.3,2021,8,78.281
9,44,4.0,1.0,212.0,217.0,285.0,283.0,0,2,4.0,1,7,0,9.52425215480818,25.5,45.9,1002.5,0,45.4,198,0.3,2021,8,105.247
16,63,4.0,2.0,287.0,300.0,285.0,316.0,1,3,2.0,1,11,0,9.52425215480818,25.5,45.9,1002.5,0,45.4,198,0.3,2021,8,78.635
13,4,3.0,1.0,209.0,233.0,273.5594525235244,102.0,0,3,3.0,1,6,0,9.52425215480818,25.5,45.9,1002.5,0,45.4,198,0.3,2021,8,106.543
20,33,4.0,1.0,174.0,240.0,282.0,211.0,0,3,4.0,1,10,0,9.52425215480818,25.5,45.9,1002.5,0,45.4,198,0.3,2021,8,122.89
7,10,3.0,1.0,247.0,226.0,273.5594525235244,292.0,0,3,3.0,1,0,0,9.52425215480818,25.4,45.3,1002.4,0,45.3,199,0.3,2021,8,95.474
9,44,5.0,1.0,289.0,303.0,254.0,317.0,0,2,5.0,1,7,0,9.52425215480818,25.4,45.3,1002.4,0,45.3,199,0.3,2021,8,80.505
1,14,3.0,1.0,188.0,187.0,273.5594525235244,211.0,0,3,3.0,1,1,0,9.52425215480818,25.4,45.3,1002.4,0,45.3,199,0.3,2021,8,109.479
14,31,3.0,1.0,75.0,209.0,273.5594525235244,294.0,0,3,3.0,1,1,0,9.52425215480818,25.4,45.3,1002.4,0,45.3,199,0.3,2021,8,102.209
16,63,5.0,2.0,180.0,200.0,273.5594525235244,218.0,0,3,3.0,1,11,0,9.52425215480818,25.4,45.3,1002.4,0,45.3,199,0.3,2021,8,98.76
20,33,5.0,1.0,287.0,305.0,273.5594525235244,311.0,0,3,5.0,1,10,0,9.52425215480818,25.6,46.5,1002.5,0,44.8,240,0.4,2021,8,86.495
9,44,6.0,1.0,235.0,227.0,273.5594525235244,285.0,0,2,6.0,1,7,0,9.52425215480818,25.4,46.6,1002.4,0,44.8,177,0.6,2021,8,100.496
19,22,5.0,2.0,288.0,304.0,283.0,309.0,1,3,2.0,1,0,0,9.52425215480818,25.0,48.7,1002.4,0,44.5,201,0.7,2021,8,78.556
12,16,5.0,2.0,286.0,302.0,282.0,311.0,1,3,2.0,1,3,0,9.52425215480818,25.0,48.7,1002.4,0,44.5,201,0.7,2021,8,78.041
18,18,5.0,2.0,285.0,295.0,286.0,317.0,1,3,2.0,1,2,0,9.52425215480818,25.0,48.6,1002.5,0,44.4,236,0.4,2021,8,78.241
1,14,5.0,2.0,285.0,302.0,283.0,317.0,1,3,2.0,1,1,0,9.52425215480818,25.0,48.6,1002.5,0,44.4,236,0.4,2021,8,78.281
13,4,5.0,2.0,284.0,304.0,286.0,316.0,1,3,2.0,1,6,0,9.52425215480818,25.0,48.6,1002.5,0,44.4,236,0.4,2021,8,77.821
16,63,7.0,3.0,283.0,301.0,285.0,314.0,1,3,2.0,1,11,0,9.52425215480818,25.0,48.6,1002.5,0,44.4,236,0.4,2021,8,78.445
12,16,6.0,2.0,183.0,174.0,273.5594525235244,274.0,0,3,3.0,1,3,0,9.52425215480818,24.9,48.6,1002.5,0,44.4,236,0.4,2021,8,106.249
